
42","42 Coin","42"
FIBRE","FIBRE","FIBRE"
FRC","FireRoosterCoin","FRC"
FLT","FlutterCoin","FLT"
FRK","Franko","FRK"
FRAC","FractalCoin","FRAC"
FTC","FeatherCoin","FTC"
GDC","GrandCoin","GDC"
GLC","GlobalCoin","GLC"
GLX","GalaxyCoin","GLX"
GLYPH","GlyphCoin","GLYPH"
GML","GameLeagueCoin","GML"
GUE","GuerillaCoin","GUE"
HAL","Halcyon","HAL"
HUC","HunterCoin","HUC"
HVC","HeavyCoin","HVC"
HYP","Hyperstake","HYP"
ICB","IceBergCoin","ICB"
IFC","Infinite Coin","IFC"
IOC","IOCoin","IOC"
JBS","JumBucks Coin","JBS"
JKC","JunkCoin","JKC"
JUDGE","JudgeCoin","JUDGE"
KDC","Klondike Coin","KDC"
KEY*","KeyCoin","KEY*"
KGC","KrugerCoin","KGC"
LAB*","CoinWorksCoin","LAB*"
LGD*","Legendary Coin","LGD*"
LK7","Lucky7Coin","LK7"
LKY","LuckyCoin","LKY"
LSD","LightSpeedCoin","LSD"
LTB","Litebar ","LTB"
LTCD","LitecoinDark","LTCD"
LTCX","LitecoinX","LTCX"
LXC","LibrexCoin","LXC"
LYC","LycanCoin","LYC"
MAX","MaxCoin","MAX"
MED","MediterraneanCoin","MED"
MIN","Minerals Coin","MIN"
MINT","MintCoin","MINT"
MN","Cryptsy Mining Contract","MN"
MNC","MinCoin","MNC"
MRY","MurrayCoin","MRY"
MYST*","MysteryCoin","MYST*"
MZC","MazaCoin","MZC"
NAN","NanoToken","NAN"
NAUT","Nautilus Coin","NAUT"
NAV","NavCoin","NAV"
NBL","Nybble","NBL"
NEC","NeoCoin","NEC"
NET","NetCoin","NET"
NMB","Nimbus Coin","NMB"
NRB","NoirBits","NRB"
NOBL","NobleCoin","NOBL"
NRS","NoirShares","NRS"
NVC","NovaCoin","NVC"
NMC","NameCoin","NMC"
NYAN","NyanCoin","NYAN"
OPAL","OpalCoin","OPAL"
ORB","Orbitcoin","ORB"
OSC","OpenSourceCoin","OSC"
PHS","PhilosophersStone","PHS"
POINTS","Cryptsy Points","POINTS"
POT","PotCoin","POT"
PSEUD","PseudoCash","PSEUD"
PTS*","Protoshares","PTS*"
PXC","PhoenixCoin","PXC"
PYC","PayCoin","PYC"
RDD","ReddCoin","RDD"
RIPO","RipOffCoin","RIPO"
RT2","RotoCoin","RT2"
RYC","RoyalCoin","RYC"
RZR","RazorCoin","RZR"
SAT2","Saturn2Coin","SAT2"
SBC","StableCoin","SBC"
SDC","ShadowCash","SDC"
SFR","SaffronCoin","SFR"
SHADE","ShadeCoin","SHADE"
SHLD","ShieldCoin","SHLD"
SILK","SilkCoin","SILK"
SLG","SterlingCoin","SLG"
SMC","SmartCoin","SMC"
SOLE","SoleCoin","SOLE"
SPA","SpainCoin","SPA"
SPT","Spots","SPT"
SRC","SecureCoin","SRC"
SSV","SSVCoin","SSV"
XLM","Stellar","XLM"
SUPER","SuperCoin","SUPER"
SWIFT","BitSwift","SWIFT"
SYNC","SyncCoin","SYNC"
SYS","SysCoin","SYS"
TAG","TagCoin","TAG"
TAK","TakCoin","TAK"
TES","TeslaCoin","TES"
TIT","TitCoin","TIT"
TOR","TorCoin","TOR"
TRC","TerraCoin","TRC"
TTC","TittieCoin","TTC"
ULTC","Umbrella","ULTC"
UNO","Unobtanium","UNO"
URO","UroCoin","URO"
USDE","UnitaryStatus Dollar","USDE"
UTC","UltraCoin","UTC"
UTIL","Utility Coin","UTIL"
VDO","VidioCoin","VDO"
VIA","ViaCoin","VIA"
VOOT","VootCoin","VOOT"
VRC","VeriCoin","VRC"
WC","WhiteCoin","WC"
WDC","WorldCoin","WDC"
XAI","SapienceCoin","XAI"
XBOT","SocialXbotCoin","XBOT"
XC","X11 Coin","XC"
XCASH","Xcash","XCASH"
XCR","Crypti","XCR"
XJO","JouleCoin","XJO"
XLB","LibertyCoin","XLB"
XPM","PrimeCoin","XPM"
XST","StealthCoin","XST"
XXX","XXXCoin","XXX"
YAC","YAcCoin","YAC"
ZCC","ZCC Coin","ZCC"
ZED","ZedCoins","ZED"
ZRC*","ZiftrCoin","ZRC*"
EKN","Elektron","EKN"
XAU","XauCoin","XAU"
TMC","TimesCoin","TMC"
XEM","NEM","XEM"
NBT","NuBits","NBT"
SJCX","StorjCoin","SJCX"
START","StartCoin","START"
HUGE","BigCoin","HUGE"
XCP","CounterParty","XCP"
MAID","MaidSafe Coin","MAID"
007","007 coin","007"
NSR","NuShares","NSR"
MONA","MonaCoin","MONA"
CELL","SolarFarm","CELL"
TEK","TekCoin","TEK"
TRON","Positron","TRON"
BAY","BitBay","BAY"
NTRN","Neutron","NTRN"
SLING","Sling Coin","SLING"
XVC","Vcash","XVC"
CRAVE","CraveCoin","CRAVE"
XSI","Stability Shares","XSI"
GHS","Giga Hash","GHS"
BYC","ByteCent","BYC"
GRC","GridCoin","GRC"
GEMZ","Gemz Social","GEMZ"
KTK","KryptCoin","KTK"
HZ","Horizon","HZ"
FAIR","FairCoin","FAIR"
QORA","QoraCoin","QORA"
NLG","Gulden","NLG"
RBY","RubyCoin","RBY"
PTC","PesetaCoin","PTC"
KORE","Kore","KORE"
WBB","Wild Beast Coin","WBB"
SSD","Sonic Screw Driver Coin","SSD"
XTC","TileCoin","XTC"
NOTE","Dnotes","NOTE"
GRID*","GridPay","GRID*"
FLO","FlorinCoin","FLO"
MMXIV","MaieutiCoin","MMXIV"
8BIT","8BIT Coin","8BIT"
STV","Sativa Coin","STV"
EBS","EbolaShare","EBS"
AM","AeroMe","AM"
XMG","Coin Magi","XMG"
AMBER","AmberCoin","AMBER"
JPC","JackPotCoin","JPC"
NKT","NakomotoDark","NKT"
J","JoinCoin","J"
GHC","GhostCoin","GHC"
DTC","DayTrader Coin","DTC"
ABY","ArtByte","ABY"
LDOGE","LiteDoge","LDOGE"
MTR","MasterTraderCoin","MTR"
TRI","Triangles Coin","TRI"
SWARM","SwarmCoin","SWARM"
BBR","Boolberry","BBR"
BTCRY","BitCrystal","BTCRY"
BCR","BitCredit","BCR"
XPB","Pebble Coin","XPB"
XDQ","Dirac Coin","XDQ"
FLDC","Folding Coin","FLDC"
SLR","SolarCoin","SLR"
SMAC","Social Media Coin","SMAC"
TRK","TruckCoin","TRK"
U","Ucoin","U"
UIS","Unitus","UIS"
CYP","CypherPunkCoin","CYP"
UFO","UFO Coin","UFO"
ASN","Ascension Coin","ASN"
OC","OrangeCoin","OC"
GSM","GSM Coin","GSM"
FSC2","FriendshipCoin","FSC2"
NXTTY","NXTTY","NXTTY"
QBK","QuBuck Coin","QBK"
BLC","BlakeCoin","BLC"
MARYJ","MaryJane Coin","MARYJ"
OMC","OmniCron","OMC"
GIG","GigCoin","GIG"
BITS","BitstarCoin","BITS"
LTBC","LTBCoin","LTBC"
NEOS","NeosCoin","NEOS"
HYPER","HyperCoin","HYPER"
VTR","Vtorrent","VTR"
METAL","MetalCoin","METAL"
PINK","PinkCoin","PINK"
GRE","GreenCoin","GRE"
XG","XG Sports","XG"
CHILD","ChildCoin","CHILD"
BOOM","BOOM Coin","BOOM"
MINE","Instamine Nuggets","MINE"
ROS","ROS Coin","ROS"
UNAT","Unattanium","UNAT"
SLM","SlimCoin","SLM"
GAIA","GAIA Platform","GAIA"
TRUST","TrustPlus","TRUST"
FCN","FantomCoin ","FCN"
XCN","Cryptonite","XCN"
CURE","Curecoin","CURE"
GMC","Gridmaster","GMC"
MMC","MemoryCoin","MMC"
XBC","BitcoinPlus","XBC"
CYC","ConSpiracy Coin ","CYC"
OCTO","OctoCoin","OCTO"
MSC","MasterCoin","MSC"
EGG","EggCoin","EGG"
GSX","GlowShares","GSX"
CAM","Camcoin","CAM"
RBR","Ribbit Rewards","RBR"
XQN","Quotient","XQN"
ICASH","ICASH","ICASH"
NODE","Node","NODE"
SOON","SoonCoin","SOON"
BTMI","BitMiles","BTMI"
EVENT","Event Token","EVENT"
1CR","1Credit","1CR"
VIOR","ViorCoin","VIOR"
XCO","XCoin","XCO"
VMC","VirtualMining Coin","VMC"
MRS","MarsCoin","MRS"
VIRAL","Viral Coin","VIRAL"
EQM","Equilibrium Coin","EQM"
ISL","IslaCoin","ISL"
QSLV","Quicksilver coin","QSLV"
XWT","World Trade Funds","XWT"
XNA","DeOxyRibose","XNA"
RDN","RadonPay","RDN"
SKB","SkullBuzz","SKB"
BSTY","GlobalBoost","BSTY"
FCS","CryptoFocus","FCS"
GAM","Gambit coin","GAM"
NXS","Nexus","NXS"
CESC","Crypto Escudo","CESC"
TWLV","Twelve Coin","TWLV"
EAGS","EagsCoin","EAGS"
MWC","MultiWallet Coin","MWC"
ADC","AudioCoin","ADC"
MARS","MarsCoin ","MARS"
XMS","Megastake","XMS"
SIGU","Singular","SIGU"
BTX*","BitcoinTX","BTX*"
DCC","DarkCrave","DCC"
M1","SupplyShock","M1"
DB","DarkBit","DB"
CTO","Crypto","CTO"
EDGE","EdgeCoin","EDGE"
LUX*","BitLux","LUX*"
FUTC","FutCoin","FUTC"
GLOBE","Global","GLOBE"
TAM","TamaGucci","TAM"
MRP","MorpheusCoin","MRP"
CREVA","Creva Coin","CREVA"
XFC","Forever Coin","XFC"
NANAS","BananaBits","NANAS"
LOG","Wood Coin","LOG"
XCE","Cerium","XCE"
ACP","Anarchists Prime","ACP"
DRZ","Droidz","DRZ"
BUCKS*","GorillaBucks","BUCKS*"
BSC","BowsCoin","BSC"
DRKT","DarkTron","DRKT"
CIRC","CryptoCircuits","CIRC"
VERSA","Versa Token","VERSA"
EPY","Empyrean","EPY"
SQL","Squall Coin","SQL"
POLY","PolyBit","POLY"
PIGGY","Piggy Coin","PIGGY"
CHA","Charity Coin","CHA"
MIL","Milllionaire Coin","MIL"
CRW","Crown Coin","CRW"
GEN","Genstake","GEN"
XPH","PharmaCoin","XPH"
GRM","GridMaster","GRM"
QTZ","Quartz","QTZ"
ARB","Arbit Coin","ARB"
LTS","Litestar Coin","LTS"
SPC","SpinCoin","SPC"
GP","GoldPieces","GP"
BITZ","Bitz Coin","BITZ"
DUB","DubCoin","DUB"
GRAV","Graviton","GRAV"
BOB","Bob Coin","BOB"
MCN","MonetaVerde","MCN"
QCN","Quazar Coin","QCN"
HEDG","Hedgecoin","HEDG"
SONG","Song Coin","SONG"
XSEED","BitSeeds","XSEED"
CRE","Credits","CRE"
AXIOM","Axiom Coin","AXIOM"
SMLY","SmileyCoin","SMLY"
RBT","Rimbit","RBT"
CHIP","Chip","CHIP"
SPEC","SpecCoin","SPEC"
GRAM","Gram Coin","GRAM"
UNC","UnCoin","UNC"
SPRTS","Sprouts","SPRTS"
ZNY","BitZeny","ZNY"
BTQ","BitQuark","BTQ"
PKB","ParkByte","PKB"
STR*","StarCoin","STR*"
SNRG","Synergy","SNRG"
GHOUL","Ghoul Coin","GHOUL"
HNC","Hellenic Coin","HNC"
DIGS","Diggits","DIGS"
EXP","Expanse","EXP"
GCR","Global Currency Reserve","GCR"
MAPC","MapCoin","MAPC"
MI","XiaoMiCoin","MI"
CON","Paycon","CON"
TX","Transfer","TX"
SC","Siacoin","SC"
CLV","CleverCoin","CLV"
FCT","Factoids","FCT"
LYB","LyraBar","LYB"
BST","BitStone","BST"
PXI","Prime-X1","PXI"
CPC","CapriCoin","CPC"
AMS","Amsterdam Coin","AMS"
OBITS","Obits Coin","OBITS"
CLUB"," ClubCoin","CLUB"
RADS","Radium","RADS"
BLITZ","BlitzCoin","BLITZ"
HIRE*","BitHIRE","HIRE*"
EGC","EverGreenCoin","EGC"
MND","MindCoin","MND"
I0C","I0coin","I0C"
BTA","Bata","BTA"
KARM","Karmacoin","KARM"
DCR","Decred","DCR"
NAS2","Nas2Coin","NAS2"
PAK","Pakcoin","PAK"
CRB","Creditbit ","CRB"
DOGED","DogeCoinDark","DOGED"
REP","Augur","REP"
OK","OKCash","OK"
VOX","Voxels","VOX"
AMP","Synereo","AMP"
HODL","HOdlcoin","HODL"
DGD","Digix DAO","DGD"
LSK","Lisk","LSK"
WAVES","Waves","WAVES"
HTC","Hitcoin","HTC"
GAME","Gamecredits","GAME"
DSH","Dashcoin","DSH"
DBIC","DubaiCoin","DBIC"
XHI","HiCoin","XHI"
SPOTS","Spots","SPOTS"
BIOS","BiosCrypto","BIOS"
KNC*","Khancoin","KNC*"
CAB","CabbageUnit","CAB"
DIEM","CarpeDiemCoin","DIEM"
GBT","GameBetCoin","GBT"
SAR","SARCoin","SAR"
RCX","RedCrowCoin","RCX"
PWR","PowerCoin","PWR"
TRUMP","TrumpCoin","TRUMP"
PRM","PrismChain","PRM"
BCY","BitCrystals","BCY"
RBIES","Rubies","RBIES"
STEEM","Steem","STEEM"
BLRY","BillaryCoin","BLRY"
XWC","WhiteCoin","XWC"
DOT","Dotcoin","DOT"
SCOT","Scotcoin","SCOT"
DNET","Darknet","DNET"
BAC","BitalphaCoin","BAC"
XID*","International Diamond Coin","XID*"
GRT","Grantcoin","GRT"
TCR","Thecreed","TCR"
POST","PostCoin","POST"
INFX","Influxcoin","INFX"
ETHS","EthereumScrypt","ETHS"
PXL","Phalanx","PXL"
NUM","NumbersCoin","NUM"
SOUL","SoulCoin","SOUL"
ION","Ionomy","ION"
GROW","GrownCoin","GROW"
UNITY","SuperNET","UNITY"
OLDSF","OldSafeCoin","OLDSF"
SSTC","SunShotCoin","SSTC"
NETC","NetworkCoin","NETC"
GPU","GPU Coin","GPU"
TAGR","Think And Get Rich Coin","TAGR"
HMP","HempCoin","HMP"
ADZ","Adzcoin","ADZ"
MYC","MayaCoin","MYC"
IVZ","InvisibleCoin","IVZ"
VTA","VirtaCoin","VTA"
SOIL","SoilCoin","SOIL"
CUBE","DigiCube","CUBE"
YOC","YoCoin","YOC"
COIN*","Coin","COIN*"
VPRC","VapersCoin","VPRC"
APC","AlpaCoin","APC"
STEPS","Steps","STEPS"
DBTC","DebitCoin","DBTC"
UNIT","Universal Currency","UNIT"
SIB","SibCoin","SIB"
ERC","EuropeCoin","ERC"
AIB","AdvancedInternetBlock","AIB"
PRIME","PrimeChain","PRIME"
BERN","BERNcash","BERN"
BIGUP","BigUp","BIGUP"
KR","Krypton","KR"
XRE","RevolverCoin","XRE"
XDB","DragonSphere","XDB"
ANTI","Anti Bitcoin","ANTI"
BRK","BreakoutCoin","BRK"
COLX","ColossusCoinXT","COLX"
MNM","Mineum","MNM"
ADCN","Asiadigicoin","ADCN"
ZEIT","ZeitCoin","ZEIT"
2GIVE","2GiveCoin","2GIVE"
CGA","Cryptographic Anomaly","CGA"
SWING","SwingCoin","SWING"
SAFEX","SafeExchangeCoin","SAFEX"
NEBU","Nebuchadnezzar","NEBU"
AEC","AcesCoin","AEC"
ADN","Aiden","ADN"
PULSE","Pulse","PULSE"
N7","Number7","N7"
CYG","Cygnus","CYG"
LGBTQ","LGBTQoin","LGBTQ"
UTH","Uther","UTH"
MPRO","MediumProject","MPRO"
KAT","KATZcoin","KAT"
SPM","Supreme","SPM"
MOJO","Mojocoin","MOJO"
BELA","BelaCoin","BELA"
FLX","Flash","FLX"
BOLI","BolivarCoin","BOLI"
CLUD","CludCoin","CLUD"
DIME","DimeCoin","DIME"
FLY","FlyCoin","FLY"
HVCO","High Voltage Coin","HVCO"
GIZ","GIZMOcoin","GIZ"
GREXIT","GrexitCoin","GREXIT"
CARBON","Carboncoin","CARBON"
DEUR","DigiEuro","DEUR"
TUR","Turron","TUR"
LEMON","LemonCoin","LEMON"
STS","STRESScoin","STS"
DISK","Dark Lisk","DISK"
NEVA","NevaCoin","NEVA"
CYT","Cryptokenz","CYT"
FUZZ","Fuzzballs","FUZZ"
NKC","Nukecoinz","NKC"
SCRT","SecretCoin","SCRT"
XRA","Ratecoin","XRA"
XNX","XanaxCoin","XNX"
STAR*","StarCoin","STAR*"
STHR","Stakerush","STHR"
DBG","Digital Bullion Gold","DBG"
WMC","WMCoin","WMC"
GOTX","GothicCoin","GOTX"
SHREK","ShrekCoin","SHREK"
STA*","Stakers","STA*"
RISE","Rise","RISE"
REV","Revenu","REV"
PBC","PabyosiCoin","PBC"
OBS","Obscurebay","OBS"
EXIT","ExitCoin","EXIT"
EDC","EducoinV","EDC"
CLINT","Clinton","CLINT"
CKC","Clockcoin","CKC"
VIP","VIP Tokens","VIP"
NXE","NXEcoin","NXE"
ZOOM","ZoomCoin","ZOOM"
DRACO","DT Token","DRACO"
YOVI","YobitVirtualCoin","YOVI"
ORLY","OrlyCoin","ORLY"
KUBO","KubosCoin","KUBO"
INCP","InceptionCoin","INCP"
SAK","SharkCoin","SAK"
EVIL","EvilCoin","EVIL"
OMA","OmegaCoin","OMA"
COX","CobraCoin","COX"
BNT","Bancor Network Token","BNT"
EKO","EkoCoin","EKO"
BSD","BitSend","BSD"
DES","Destiny","DES"
BIT16","16BitCoin","BIT16"
PDC","Project Decorum","PDC"
CMT","CometCoin","CMT"
CHESS","ChessCoin","CHESS"
SPACE","SpaceCoin","SPACE"
REE","ReeCoin","REE"
LQD","Liquid","LQD"
MARV","Marvelous","MARV"
VEC2","VectorCoin 2.0 ","VEC2"
OMNI","Omni","OMNI"
GSY","GenesysCoin","GSY"
TKN*","TrollTokens","TKN*"
LIR","Let it Ride","LIR"
MMNXT","MMNXT ","MMNXT"
SCRPT","ScryptCoin","SCRPT"
SPX","Specie","SPX"
SBD","Steem Backed Dollars","SBD"
CJ","CryptoJacks","CJ"
PUT","PutinCoin","PUT"
KRAK","Kraken","KRAK"
DLISK","Dlisk","DLISK"
IBANK","iBankCoin","IBANK"
STRAT","Stratis","STRAT"
VOYA","Voyacoin","VOYA"
ENTER","EnterCoin ENTER","ENTER"
WGC","World Gold Coin","WGC"
BM","BitMoon","BM"
PSY","Psilocybin","PSY"
XT","ExtremeCoin","XT"
RUST","RustCoin","RUST"
NZC","NewZealandCoin","NZC"
SNGLS","SingularDTV","SNGLS"
XAUR","Xaurum","XAUR"
BFX","BitFinex Tokens","BFX"
UNIQ","Uniqredit","UNIQ"
CRX","ChronosCoin","CRX"
DCT","Decent","DCT"
XPOKE","PokeChain","XPOKE"
MUDRA","MudraCoin","MUDRA"
CNMT","Coinomat","CNMT"
PIZZA","PizzaCoin","PIZZA"
LC","Lutetium Coin","LC"
HEAT","Heat Ledger","HEAT"
ICN","Iconomi","ICN"
EXB","ExaByte EXB","EXB"
WINGS","Wings DAO","WINGS"
CDX","Cryptodex","CDX"
RBIT","ReturnBit","RBIT"
DCS","deCLOUDs","DCS"
KMD","Komodo","KMD"
GB","GoldBlocks","GB"
ANC","Anoncoin","ANC"
SYNX","Syndicate","SYNX"
MC","Mass Coin","MC"
EDR","E-Dinar Coin","EDR"
JWL","Jewels","JWL"
WAY","WayCoin","WAY"
TAB","MollyCoin","TAB"
TRIG","Trigger","TRIG"
BITCNY","bitCNY","BITCNY"
BITUSD","bitUSD","BITUSD"
ATM","Autumncoin","ATM"
STO","Save The Ocean","STO"
SNS","Sense","SNS"
FSN","Fusion","FSN"
CTC","CarterCoin","CTC"
TOT","TotCoin","TOT"
BTD","Bitcloud","BTD"
BOTS","ArkDAO","BOTS"
MDC","MedicCoin","MDC"
FTP","FuturePoints","FTP"
ZET2","Zeta2Coin","ZET2"
COV*","CovenCoin","COV*"
TELL","Tellurion","TELL"
ENE","EneCoin","ENE"
TDFB","TDFB","TDFB"
BLOCKPAY","BlockPay","BLOCKPAY"
BXT","BitTokens","BXT"
ZYD","ZayedCoin","ZYD"
GOON","Goonies","GOON"
VLT","Veltor","VLT"
ZNE","ZoneCoin","ZNE"
DCK","DickCoin","DCK"
COVAL","Circuits of Value","COVAL"
DGDC","DarkGold","DGDC"
TODAY","TodayCoin","TODAY"
VRM","Verium","VRM"
ROOT","RootCoin","ROOT"
1ST","FirstBlood","1ST"
GPL","Gold Pressed Latinum","GPL"
DOPE","DopeCoin","DOPE"
B3","B3 Coin","B3"
FX","FCoin","FX"
PIO","Pioneershares","PIO"
GAY","GayCoin","GAY"
SMSR","Samsara Coin","SMSR"
UBIQ","Ubiqoin","UBIQ"
ARM","Armory Coin","ARM"
RING","RingCoin","RING"
ERB","ERBCoin","ERB"
LAZ","Lazarus","LAZ"
FONZ","FonzieCoin","FONZ"
BTCR","BitCurrency","BTCR"
DROP","FaucetCoin","DROP"
PNK","SteamPunk","PNK"
MOOND","Dark Moon","MOOND"
DLC","DollarCoin","DLC"
SEN","Sentaro","SEN"
SCN","Swiscoin","SCN"
WEX","Wexcoin","WEX"
LTH","Lathaan","LTH"
BRONZ","BitBronze","BRONZ"
SH","Shilling","SH"
MG","Mind Gene","MG"
PSI","PSIcoin","PSI"
XPO","Opair","XPO"
NLC","NoLimitCoin","NLC"
PSB","PesoBit","PSB"
XBTS","Beats","XBTS"
FIT","Fitcoin","FIT"
PINKX","PantherCoin","PINKX"
FIRE","FireCoin","FIRE"
UNF","Unfed Coin","UNF"
SPORT","SportsCoin","SPORT"
PPY","Peerplays","PPY"
NTC","NineElevenTruthCoin","NTC"
EGO","EGOcoin","EGO"
RCN*","RCoin","RCN*"
X2","X2Coin","X2"
MT","Mycelium Token","MT"
TIA","Tianhe","TIA"
GBRC","GBR Coin","GBRC"
XUP","UPcoin","XUP"
BBCC","BaseballCardCoin","BBCC"
EMIGR","EmiratesGoldCoin","EMIGR"
BHC","BighanCoin","BHC"
CRAFT","Craftcoin","CRAFT"
INV","Invictus","INV"
OLYMP","OlympCoin","OLYMP"
DPAY","DelightPay","DPAY"
ATOM","Atomic Coin","ATOM"
HKG","Hacker Gold","HKG"
ANTC","AntiLitecoin","ANTC"
JOBS","JobsCoin","JOBS"
DGORE","DogeGoreCoin","DGORE"
THC","The Hempcoin","THC"
TRA","Tetra","TRA"
RMS","Resumeo Shares","RMS"
FJC","FujiCoin","FJC"
VAPOR","Vaporcoin","VAPOR"
SDP","SydPakCoin","SDP"
RRT","Recovery Right Tokens","RRT"
XZC","ZCoin","XZC"
PRE","Premium","PRE"
CALC","CaliphCoin","CALC"
LEA","LeaCoin","LEA"
CF","Californium","CF"
CRNK","CrankCoin","CRNK"
CFC","CoffeeCoin","CFC"
VTY","Victoriouscoin","VTY"
SFE","Safecoin","SFE"
ARDR","Ardor","ARDR"
BS","BlackShadowCoin","BS"
JIF","JiffyCoin","JIF"
CRAB","CrabCoin","CRAB"
AIR*","Aircoin","AIR*"
HILL","President Clinton","HILL"
FOREX","ForexCoin","FOREX"
MONETA","Moneta","MONETA"
EC","Eclipse","EC"
RUBIT","Rublebit","RUBIT"
HCC","HappyCreatorCoin ","HCC"
BRAIN","BrainCoin","BRAIN"
VTX","Vertex","VTX"
KRC","KRCoin","KRC"
ROYAL","RoyalCoin","ROYAL"
LFC","BigLifeCoin","LFC"
ZUR","Zurcoin","ZUR"
NUBIS","NubisCoin","NUBIS"
TENNET","Tennet","TENNET"
PEC","PeaceCoin","PEC"
GMX","Goldmaxcoin","GMX"
32BIT","32Bitcoin","32BIT"
GNJ","GanjaCoin V2","GNJ"
TEAM","TeamUP","TEAM"
SCT","ScryptToken","SCT"
LANA","LanaCoin","LANA"
ELE","Elementrem","ELE"
GCC","GuccioneCoin","GCC"
AND","AndromedaCoin","AND"
GBYTE","Byteball","GBYTE"
EQUAL","EqualCoin","EQUAL"
SWEET","SweetStake","SWEET"
2BACCO","2BACCO Coin","2BACCO"
DKC","DarkKnightCoin","DKC"
COC","Community Coin","COC"
CHOOF","ChoofCoin","CHOOF"
CSH","CashOut","CSH"
ZCL","ZClassic","ZCL"
RYCN","RoyalCoin 2.0","RYCN"
PCS","Pabyosi Coin","PCS"
NBIT","NetBit","NBIT"
WINE","WineCoin","WINE"
DAR","Darcrus","DAR"
ARK","ARK","ARK"
ZECD","ZCashDarkCoin","ZECD"
ZXT","Zcrypt","ZXT"
WASH","WashingtonCoin","WASH"
TESLA","TeslaCoilCoin","TESLA"
LUCKY","LuckyBlocks LUCKY","LUCKY"
VSL","vSlice","VSL"
TPG","Troll Payment","TPG"
LEO","LEOcoin","LEO"
MDT","Midnight ","MDT"
CBD","CBD Crystals","CBD"
PEX","PosEx","PEX"
INSANE","InsaneCoin","INSANE"
GNT","Golem Network Token","GNT"
PEN","PenCoin","PEN"
BASH","LuckChain","BASH"
FAME","FameCoin","FAME"
LIV","LiviaCoin","LIV"
SP","Sex Pistols","SP"
MEGA","MegaFlash","MEGA"
VRS","Veros","VRS"
ALC","Arab League Coin","ALC"
DOGETH","EtherDoge","DOGETH"
KLC","KiloCoin","KLC"
